,q,GRB,Pre-peak slope,APP_neg,APP_pos,Intermediate slope,APR_neg,APR_pos,Post-break slope,APB_neg,APB_pos,Peak time,P_pos,P_neg,Break time,B_pos,B_neg
20,1.2,061201,0.24506683521589967,0.004025053011967289,0.003663311043504369,-1.00387338160981,0.016367998681001028,0.012192489911528326,-1.8940334911663257,0.02935594327564628,0.023610652294187684,4.53909474835467,0.3789151254330987,0.350801561952343,83943.47416396983,5696.273721391379,5975.460769758676
21,1.4,061201,0.25005755142898045,0.003903512574770396,0.0035811049918775817,-0.9908155194879732,0.012895684384175543,0.011979412854720262,-1.796979420085429,0.03228476387987822,0.040287539644835224,4.055894138364758,0.41030418006175395,0.2523743272545693,103567.74986759614,7027.94657750339,7372.401875304262
22,1.6,061201,0.2556925668731715,0.004084189759308798,0.0032754616449997,-0.9625370273095276,0.00909354405226892,0.009194839771693775,-1.7442330103989137,0.00872632134499396,0.016229864943736683,3.803519811110189,0.3847733752921383,0.3494247156485475,125833.50950023309,8538.866428574358,8957.375269826967
23,1.8,061201,0.2618282925573454,0.003955733343364409,0.003811498943949776,-0.9274831127311661,0.00977594020689232,0.010311629943400291,0.0,0.0,0.0,3.4540950954616414,0.30613986028682927,0.3173234941564407,150872.57132294303,10237.978256974427,10739.764349184232
24,2.0,061201,0.2659580138889558,0.004062362269805442,0.00386701875277512,-0.8425238670467703,0.009549663186987578,0.00798438707183069,0.0,0.0,0.0,3.1367716013052007,0.3173234941564407,0.19518276257324496,178813.68902861097,12134.019088239147,12728.734359971451
25,1.2,070714B,0.2799847006250048,0.024837103174613406,0.04306535273088885,-0.9760131226130994,0.037897304981712954,0.034399417222990336,-1.8976628632036836,0.06824061895675082,0.08407675706598705,2.758551146201392,0.4806160206082639,0.5554837100421106,38289.88942797319,10468.227960482203,8280.272648202183
26,1.4,070714B,0.2851363545481898,0.025596366404797455,0.04326496741245062,-0.9599781996118382,0.03328481163171071,0.035476024335478806,-1.816471742459132,0.0745056930592487,0.08505193984238102,2.5051264244350424,0.43646241429691335,0.4391428576100158,47241.286237308865,12915.486591017747,10216.03185959853
27,1.6,070714B,0.29100616564477294,0.02539132209066064,0.043838767410915636,-0.9379937465507648,0.026096638091306468,0.03391730088631384,-1.7392109264298155,0.0729232868373606,0.07488258440418027,2.2749835220726182,0.39636514582430893,0.3987993400867875,57397.56679222341,15692.153269030809,12412.34982610822
28,1.8,070714B,0.29895831991956634,0.02656187138405125,0.043574032941340046,-0.9042708425596149,0.026332347253115507,0.026348371859594155,-1.6513531085501518,0.08151060627927809,0.06406442465932649,2.0659835668250266,0.359951564391634,0.3621621322027613,68818.85853789264,18814.666480298867,14882.229239750799
29,2.0,070714B,0.30283354567906645,0.026751830523780717,0.04378424541896475,-0.8231226842429578,0.02305585062742166,0.025024185031846113,-1.5726503067583464,0.08459528247189163,0.04547684190544654,1.9374296166948888,0.33755390537772945,0.3396269226155104,81563.89105053572,22299.082541543365,17638.370500315214
30,3.0,070714B,0.0,0.0,0.0,-0.0027430673197469738,0.0011050727362693128,0.00019946064295416803,0.0,0.0,0.0,5856.125967953512,99.31270569802564,66.31904456405391,96292.64124240805,1633.004958043064,1090.4881487679377
