Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
201616,27733,ACIS-S,NONE,20.00,21.78,1RXS J051935.1-131037,Guenther,79.894,-13.177,archived,VFAINT,TE,3.4449051702898044,75037,2023-03-12 10:41:27,2023-03-15 11:41:08,20201077,STARS AND WD,CCT,24,20,None,
201626,27873,ACIS-S,NONE,20.00,19.81,1RXS J232203.0-465305,Guenther,350.510,-46.884,archived,VFAINT,TE,3.4724812709795643,68783,2023-05-30 04:22:04,2023-05-30 13:51:11,20201077,STARS AND WD,CCT,24,20,None,
201635,27944,ACIS-S,NONE,15.00,14.87,2MASS J20100002-2801410,Kastner,302.500,-28.028,archived,VFAINT,TE,0.5632653110070966,8376,2023-07-12 03:16:22,2023-07-12 23:28:53,20201074,STARS AND WD,CCT,24,20,None,
201636,27945,ACIS-S,NONE,20.00,18.83,1RXS J200417.9-261950,Guenther,301.075,-26.330,archived,VFAINT,TE,3.214300662658031,60516,2023-07-10 21:50:23,2023-07-11 11:28:53,20201077,STARS AND WD,CCT,24,20,None,
201637,27956,ACIS-S,NONE,20.00,19.81,TYC 6296-1543-1,Guenther,289.497,-16.334,archived,VFAINT,TE,3.7039598702994887,73388,2023-07-19 01:32:04,2023-07-19 09:58:53,20201077,STARS AND WD,CCT,24,20,None,
201680,28376,ACIS-S,NONE,10.00,9.95,1RXS J202338.0-051549,Guenther,305.910,-5.266,archived,VFAINT,TE,2.979211853614972,29634,2023-08-12 15:31:55,2023-08-13 01:48:54,20201077,STARS AND WD,CCT,24,20,None,
201681,28482,ACIS-S,NONE,20.00,19.81,2RXS J220605.9-052136,Guenther,331.522,-5.358,archived,VFAINT,TE,3.02824739193162,59998,2023-08-16 00:06:17,2023-08-16 09:08:53,20201077,STARS AND WD,CCT,24,20,None,
201683,28489,ACIS-S,NONE,20.00,19.45,1RXS J220028.6+011259,Guenther,330.118,1.217,archived,VFAINT,TE,3.0177500411339784,58702,2023-08-26 22:30:36,2023-08-27 11:28:53,20201077,STARS AND WD,CCT,24,20,None,
201688,28870,ACIS-S,NONE,20.00,19.68,1RXS J221033.6-041611,Guenther,332.641,-4.267,archived,VFAINT,TE,2.9710593299573835,58460,2023-08-29 06:55:36,2023-08-30 06:08:54,20201077,STARS AND WD,CCT,24,20,None,
201709,28976,ACIS-S,NONE,10.00,10.94,1RXS J012615.4+191011,Guenther,21.564,19.172,archived,VFAINT,TE,2.9331336039693845,32075,2023-10-18 00:20:06,2023-10-18 17:21:03,20201077,STARS AND WD,CCT,24,20,None,
201712,29041,ACIS-S,NONE,12.00,12.41,BD+20 598,Kastner,54.396,21.343,archived,VFAINT,TE,6.20273616222488,76950,2023-11-12 12:43:44,2023-11-12 18:21:02,20201074,STARS AND WD,CCT,24,20,None,
201712,29057,ACIS-S,NONE,13.00,12.41,BD+20 598,Kastner,54.396,21.343,archived,VFAINT,TE,6.186300740979958,76746,2023-11-12 22:22:42,2023-11-13 15:51:03,20201074,STARS AND WD,CCT,24,20,None,
201713,29061,ACIS-S,NONE,10.00,9.81,Gaia DR2 47804394753757056,Agüeros,64.055,18.885,archived,VFAINT,TE,2.636179571644037,25863,2023-11-13 07:02:35,2023-11-13 15:51:02,20201075,STARS AND WD,CCT,24,20,None,
201714,29075,ACIS-S,NONE,12.00,11.91,2MASS J04181926+1605181,Kastner,64.581,16.088,archived,VFAINT,TE,6.258251754866359,74535,2023-11-26 05:06:17,2023-11-26 13:31:03,20201074,STARS AND WD,CCT,24,20,None,
201714,29085,ACIS-S,NONE,12.00,11.96,2MASS J04181926+1605181,Kastner,64.581,16.088,archived,VFAINT,TE,3.2291191799023933,38609,2023-12-07 04:48:47,2023-12-07 10:31:03,20201074,STARS AND WD,CCT,24,20,None,
201714,29086,ACIS-S,NONE,11.00,11.91,2MASS J04181926+1605181,Kastner,64.581,16.088,archived,VFAINT,TE,6.409373879179225,76320,2023-12-10 06:32:08,2023-12-10 16:31:03,20201074,STARS AND WD,CCT,24,20,None,
201715,29076,ACIS-S,NONE,10.00,9.95,Gaia DR2 151222018921543424,Agüeros,67.166,26.220,archived,VFAINT,TE,2.786765718818149,27728,2023-11-23 12:51:58,2023-11-24 08:11:03,20201075,STARS AND WD,CCT,24,20,None,
201716,29088,ACIS-S,NONE,10.00,10.79,Gaia DR2 64115585330656000,Agüeros,57.514,22.592,archived,VFAINT,TE,2.57362243305,27778,2023-12-02 08:40:00,2023-12-02 20:51:03,20201075,STARS AND WD,CCT,24,20,None,
