ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
2025,167.86794009301224,55.672527887945414,2.408370914030117,0.09718248253236364,19.887924194335938,no,no,no,no,no,no,no,yes
2030,183.90523494278148,36.37201766014738,2.907961059619095,0.15220135953382746,13.104869842529297,yes,no,yes,no,yes,no,no,yes
2941,195.3415993364854,27.83795735540841,3.269501717558359,0.0916554254883783,15.355380058288574,yes,no,no,no,no,no,yes,no
4688,187.44161730116204,13.436038869301727,0.9055923476836166,0.08914006623977416,12.076837539672852,yes,no,no,no,no,no,yes,yes
4692,162.0697097775022,12.628240041061442,0.6619722534105985,0.08180053485408491,10.651329040527344,yes,yes,no,no,no,no,no,no
4692,162.0700472340889,12.628488655511301,0.637220253475428,0.1284375853609438,8.998488426208496,yes,yes,yes,no,no,no,no,yes
4725,187.7017490047603,41.60123402474253,3.366820961190281,0.14679071902403262,21.595563888549805,yes,no,no,no,yes,no,yes,no
4725,187.66200514672303,41.63618005116683,1.97539212698296,0.06945882352939318,31.831634521484375,no,yes,yes,no,no,no,no,yes
4732,210.900068867643,54.32355254894945,6.246087321360051,0.16469487695694762,49.7792854309082,no,yes,yes,no,no,yes,no,yes
4732,210.62459428585458,54.35522432771228,4.611885629035505,0.03466073831736588,542.8106689453125,yes,yes,yes,no,yes,no,yes,yes
5322,210.89991841556554,54.32349787981536,6.147832368936966,0.19504000984988498,41.82636260986328,no,yes,yes,no,no,yes,no,yes
4734,210.9471274026515,54.374970727138205,7.425500902703349,0.4799307850341406,14.045268058776855,yes,yes,yes,no,yes,no,no,yes
6114,210.80950675151803,54.30171415398854,1.29608960044437,0.075497093324436,19.84343147277832,no,yes,yes,no,no,no,unknown,yes
6170,210.90008667153964,54.32360491615272,3.029396114373367,0.08229486134950438,46.405494689941406,no,yes,yes,no,no,yes,no,yes
5944,148.92578799953884,69.06009443223603,0.9305701870419243,0.030282874448691884,112.18681335449219,no,yes,yes,no,no,no,no,yes
9533,189.93843412099602,-11.646983570415117,5.554059544307791,0.02867368555388176,489.5903625488281,yes,yes,no,no,yes,no,yes,no
9546,211.2511249551987,53.65705961254904,0.3510232177783414,0.07657115559063839,15.83505916595459,no,no,no,no,no,yes,no,yes
9548,170.0728807666797,12.971882783463144,1.275244482347003,0.03867481038766052,60.85281753540039,no,no,no,no,no,no,no,yes
