ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match
23883,260.5837730125246,65.75498797824346,4.942,0.4583532538028407,6.623190879821777,no,no,yes,no,no,no
27882,45.46908705528796,-16.653207358692836,3.34,0.2221377830688723,13.113472938537598,yes,no,no,no,no,no
23377,45.46168927923848,-16.59476352938372,0.29,0.0493652808555071,89.587158203125,yes,no,no,no,no,no
23324,127.7693092575682,9.70545097958357,9.264,0.569261126292917,21.301944732666016,no,no,no,no,no,no
23324,127.6328416870447,9.784846561455463,0.1316666666666666,0.1249658474990303,17.75309944152832,yes,no,no,no,no,no
27674,196.3167184920977,-50.9345970103637,4.383,0.357943736849805,3.6827738285064697,yes,no,no,no,no,no
27091,197.44872143177597,-23.486268224243,6.205,0.3677795600255452,18.52609062194824,yes,no,yes,no,no,no
28964,244.71649522184907,-1.991866011802935,6.134,0.360551429526109,5.741755962371826,no,no,no,no,no,no
28526,197.39547283536476,-23.307726170094217,5.126,0.6304761216267847,5.321649074554443,no,no,yes,no,no,no
25240,186.47503696543643,-36.14165323588869,5.55,0.2205976992651288,35.77335739135742,yes,no,no,no,no,no
27832,136.34891082164935,3.487444807144723,6.615,0.5640903480837302,5.6084699630737305,yes,no,no,no,yes,no
24733,157.47032402029993,-35.63771733851075,5.108,0.2442308521341337,22.14193725585937,yes,no,no,no,no,no
24798,174.78400470751967,-13.864282611100624,1.183,0.0666319679084863,21.550987243652344,yes,no,no,no,no,no
25905,215.85600324554335,-0.2951784812422818,1.624,0.1543130223790609,12.601558685302734,yes,no,no,no,yes,no
26417,228.0189970543727,5.35651946578516,6.496,0.6146730879334814,7.327912330627441,no,no,no,no,no,no
26036,141.54846547055112,3.0691558161677395,4.179,0.2630611462505542,9.584110260009766,no,no,no,no,no,no
26747,184.70428845536196,8.966059335182305,6.849,0.7588625522304318,3.077679395675659,no,no,no,no,yes,no
24346,179.54768278961862,-10.773754970513174,3.312,0.1032984817242991,16.967954635620117,no,no,yes,no,no,no
24280,285.0334113018252,-24.929257110222984,0.615,0.1130005984653582,16.973024368286133,yes,no,yes,no,no,no
24284,285.0687385065796,-24.966108800768566,3.17,0.2982497555181946,5.744559288024902,no,no,no,no,no,no
24291,284.986295189806,-24.894743626557226,2.953,0.2136987755387711,5.5513410568237305,no,no,no,no,no,no
23494,11.823181034409176,-25.30302922696614,5.563,0.1607355010491358,58.908477783203125,no,no,no,no,no,no
23499,11.8603832895408,-25.32069580871148,3.687,0.238899342332467,6.447657108306885,yes,no,yes,no,no,no
26546,332.40047641470187,13.645334735992313,7.258,1.548458863027507,3.0861167907714844,yes,no,no,no,yes,no
26551,82.26232273173106,-69.07505078102966,1.834,0.1202756983341195,22.67487907409668,yes,no,no,no,no,yes
26551,82.24447320042738,-68.91928679033846,7.718,0.5016460709382068,10.04332160949707,yes,no,no,no,no,no
27072,82.66328792361139,-67.18290831957418,1.838,0.1528493851430211,9.570874214172363,yes,no,no,no,no,no
27077,83.90538522893175,-67.08977467952342,8.356,0.4751163668637756,21.407978057861328,no,no,no,yes,no,no
27081,82.53959637356267,-70.15825286031483,4.809,0.2427592519375468,21.785816192626957,yes,no,no,no,no,no
27606,82.52143263953027,-70.12725364846374,6.83,0.4586486763935039,8.328450202941895,no,no,no,no,no,no
