ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
3744,83.75676898208958,-5.363588699031629,4.179914912512081,0.07941951857662968,37.65620422363281,no,no,yes,no,no,no,yes,no
3744,83.78496987371187,-5.474816094196369,5.191105823014689,0.12102267415616347,28.438114166259766,yes,no,yes,no,yes,no,yes,no
3744,83.7984590433751,-5.45798850486592,3.961168882623983,0.22060575328293283,9.285341262817383,no,no,yes,no,no,no,yes,no
3744,83.88105114071679,-5.38456788014657,3.755743704907661,0.11396573796110854,19.320510864257812,no,no,no,no,no,no,yes,no
3744,83.72910770213554,-5.449756655812286,6.292098300019743,0.40266006072067,7.865189075469971,yes,no,yes,no,yes,no,yes,no
3744,83.83763161657141,-5.46915299208979,4.570370022730918,0.08552448602428243,39.686859130859375,yes,no,yes,no,yes,no,yes,no
3744,83.79860429634424,-5.435726137754262,2.719779882102012,0.03178862006365629,114.44258117675781,yes,yes,yes,no,no,no,no,no
3744,83.8272238728125,-5.3638703377836645,1.9442138364548,0.024093627732544403,60.04368209838867,no,no,yes,no,no,no,no,no
3744,83.85858113857695,-5.355783650038621,3.342044084130152,0.015442484468077469,480.9781188964844,yes,no,yes,no,yes,no,yes,no
3744,83.83206431028218,-5.223763669409784,10.31817851531079,0.07611852223531801,308.7504577636719,yes,no,yes,no,no,no,no,no
3744,83.87674073735313,-5.427337537040425,3.944840052864826,0.029496372984917727,239.0434112548828,yes,no,yes,no,yes,no,yes,no
3744,83.86035613650351,-5.395772039548734,2.464639187172266,0.023159401230788756,165.23245239257812,yes,no,yes,no,no,no,no,no
3744,83.84075904786897,-5.3862545551873575,1.401850817633524,0.08928112590251842,14.056192398071289,yes,no,yes,no,yes,no,yes,no
3744,83.81868383652069,-5.376350130065285,1.134149393986528,0.024526291611009127,38.188438415527344,yes,no,yes,no,yes,no,yes,no
3744,83.83316017933637,-5.364964553741639,2.00175424981022,0.057150715106037905,15.58767032623291,no,no,yes,no,no,no,yes,no
3744,83.8174298923984,-5.358942278303974,2.180630478506882,0.03845203404591264,29.293212890625,yes,no,yes,no,yes,no,yes,no
3744,83.83683195368542,-5.355929203286566,2.586034801049757,0.09211316210699852,10.790130615234375,yes,no,yes,no,yes,yes,yes,no
3744,83.82969999387824,-5.353475635052548,2.585105928804661,0.09042812715540267,6.533051490783691,yes,no,yes,no,no,no,no,no
3744,83.85252536750828,-5.351123960574612,3.316018886672898,0.1064632916789363,15.272101402282715,no,no,yes,no,no,no,yes,no
3744,83.81921509984592,-5.326535117525153,4.122784294891327,0.07190378315914876,32.49583053588867,yes,no,yes,no,yes,no,yes,no
3744,83.81397422275042,-5.3171994554865405,4.692915990445801,0.09789224373218201,22.501588821411133,yes,no,yes,no,yes,no,yes,no
3744,83.86547398477369,-5.480878672182347,5.836950385542941,0.2538165399574246,15.576638221740723,yes,no,yes,no,yes,no,yes,no
3744,83.73720787882071,-5.36835099512973,5.151158025845126,0.12100204602851203,24.558855056762695,yes,yes,yes,no,yes,no,yes,no
3744,83.87755222546379,-5.360844500869873,4.05625250821758,0.124683725663414,19.1055965423584,no,no,yes,no,no,no,yes,no
3744,83.79362095691963,-5.36370302596478,2.428729140463489,0.03695273916099666,38.54632568359375,no,no,yes,no,no,no,no,no
3744,83.81339442231872,-5.337421002479704,3.486322198206968,0.08333051427514812,9.029891967773438,yes,no,yes,no,yes,no,yes,no
3744,83.80788165210492,-5.314699924712122,4.879128412916283,0.07094833378850117,55.29336929321289,yes,no,yes,no,yes,no,yes,no
3744,83.8307340898045,-5.3850803326431045,0.9247705003500378,0.058512569858400525,8.628198623657227,no,no,yes,no,no,no,yes,no
3744,83.79284475777892,-5.543639622453049,9.040526319321597,0.25467333520821334,43.520843505859375,yes,yes,yes,no,no,no,yes,no
3744,83.77296835997872,-5.464565583902792,4.989002035590262,0.4636471181161191,7.05797815322876,yes,no,yes,no,yes,no,yes,no
3744,83.80498551849533,-5.415357669073334,1.47193102133595,0.06373090340930368,28.92633628845215,yes,no,yes,no,yes,no,no,no
3744,83.83189648929887,-5.407348199814044,1.054239363862296,0.013128201467173138,229.43617248535156,yes,yes,yes,no,yes,no,no,no
3744,83.85007508487793,-5.387140625307359,1.913196977535575,0.07093471309105878,20.596336364746094,yes,no,yes,no,no,no,yes,no
3744,83.81679280131196,-5.329029156321077,3.975524692926778,0.15067854270673575,10.353322982788086,no,no,yes,no,no,no,no,no
3744,83.78513723664138,-5.384674402671805,2.125602473135435,0.03200056429701944,75.18397521972656,yes,no,yes,no,no,no,yes,no
3744,83.79909175641829,-5.458615513623766,3.985442707189155,0.24409753241973428,6.982867240905762,no,no,yes,no,no,no,yes,no
3744,83.86238131277534,-5.4001352413468755,2.601977055881213,0.04597575391335689,59.1307487487793,yes,no,yes,no,yes,yes,no,no
3744,83.7988689404657,-5.392591481721985,1.218917507617399,0.06282706833083482,15.568842887878418,no,no,yes,no,no,no,yes,no
3744,83.82862915142107,-5.391304444058356,0.6164745508913135,0.033270785167358985,25.678329467773438,yes,no,yes,no,yes,no,yes,no
3744,83.85904789401825,-5.334951475197462,4.333983540067075,0.011957006224646202,1261.997802734375,yes,no,yes,no,yes,no,yes,no
3744,83.82806112724921,-5.327192827140884,4.118260839879139,0.12864181812603584,13.929357528686523,no,no,yes,no,no,no,yes,no
3744,83.82307157908393,-5.324655627821456,4.242189620108735,0.02991085835629113,189.73519897460938,yes,no,yes,no,no,no,yes,no
3744,83.7997935612463,-5.492361780511723,5.939826605627516,0.172754348139194,23.923383712768555,yes,no,yes,no,no,no,yes,no
3744,83.82131107449393,-5.316907076759208,4.702317474826672,0.13721304973665246,15.044325828552246,no,no,yes,no,no,no,yes,no
3744,83.72602463609185,-5.359808948458986,5.95263834761874,0.07283713420460797,105.40839385986328,yes,no,yes,no,yes,no,yes,no
3744,83.81779534442325,-5.35253976568184,2.563683331461538,0.0,63.763973236083984,yes,no,yes,no,yes,no,yes,no
3744,83.81779329912315,-5.369514426160311,1.545989831287098,0.0171212490995754,116.76696014404297,yes,no,yes,no,yes,no,yes,no
3744,83.76419145216798,-5.272751337239433,8.048565258111486,0.48372478739930586,10.17906665802002,yes,no,yes,no,yes,yes,yes,no
4373,83.82609443478036,-5.4982568906993,6.198767661790662,0.03577792598196491,380.54541015625,yes,no,yes,no,yes,no,yes,no
4373,83.80634974844533,-5.457908795519117,3.837983543658359,0.038215979828938526,161.19606018066406,yes,no,yes,no,yes,no,yes,no
4373,83.808831565336,-5.4529034889867205,3.515463150102932,0.11827165887545077,26.50732421875,no,no,yes,no,no,no,yes,no
4373,83.82488966151749,-5.447377667529532,3.15129628453923,0.1072953947978947,19.79429054260254,yes,no,yes,no,yes,no,yes,no
4373,83.7739158944764,-5.440538304055967,3.826970208475014,0.045732961125410136,170.97850036621094,yes,no,yes,no,yes,no,yes,no
4373,83.83812669704743,-5.432463803906259,2.512329344194708,0.0782831562728234,27.496965408325195,yes,no,yes,no,yes,no,yes,no
4373,83.81528883561681,-5.425853211026262,1.852993437369053,0.06942606403934852,16.866443634033203,yes,no,yes,no,yes,yes,yes,no
4373,83.69336697850235,-5.408807362997189,7.546961005491183,0.053610347481946714,293.68280029296875,yes,yes,yes,no,yes,yes,yes,no
4373,83.80658555089857,-5.39864299739431,0.7681538585442201,0.013436905473647264,159.6243438720703,no,no,yes,no,no,no,no,no
4373,83.79226584553265,-5.3756789713921656,1.978475950658515,0.06308153297520065,15.187745094299316,yes,no,yes,no,yes,no,yes,no
