ObsId RA DEC THETA POS_ERR SIGNIFICANCE
22977 251.76857460561175 -45.83644765833955 1.55 0.1745001415391313 9.730047225952148
22977 251.74279985423647 -45.82530155172334 1.85 0.1732935866311577 9.546561241149902
22977 251.63026483450022 -45.832634962773305 4.98 0.33545203549716984 8.07406997680664
22977 251.78974505454244 -45.812278993814076 3.239 0.31889416089662204 5.525028228759766
22978 251.75014133439495 -45.84171922210394 1.685 0.11692789801135271 12.831104278564453
22979 251.76387370632713 -45.84862485757162 1.002 0.07005530550427153 15.648850440979004
22979 251.75746986590426 -45.842766614735034 1.403 0.1002222222221922 8.905506134033203
22980 251.7791598421537 -45.84756401835908 0.9933333333333334 0.15615923497106945 5.909626007080078
22980 251.75349678811213 -45.84304890994382 1.526 0.1607706839816777 5.96303653717041
22980 251.85279281866156 -45.77263280444308 6.373 0.6403310992500401 3.919046640396118
22981 251.75143852245915 -45.85019398169271 1.081 0.12070073183949222 12.277017593383789
22981 251.75682201885448 -45.84374377994042 1.365 0.11102852486322931 5.4182047843933105
22981 251.75613350598374 -45.821386477571615 2.693 0.1559112436140618 11.77819538116455
22983 251.8534891069575 -45.84547008043416 3.434 0.2351739414136432 9.302688598632812
22984 251.76291761760876 -45.84818590827404 1.063 0.15592255824214554 8.73373031616211
22985 251.76436049243557 -45.84871008970615 0.8333333333333334 0.12554324644697085 10.63150691986084
22985 251.8281561569345 -45.799418636985855 3.35 0.2763524566094685 7.487691879272461
22985 251.6682327610008 -45.820459685293095 5.071 0.2456578656578319 19.69240951538086
22986 251.69401050976222 -45.86396991103569 3.421 0.19015106584648483 11.942867279052734
22987 251.77804142917785 -45.85065936180682 0.345 0.08400749654164792 3.148064374923706
22987 251.80535484138483 -45.903892215471565 3.151 0.32454806223005606 5.326834678649902
22987 251.78940410173655 -45.8487853266996 0.75 0.06140093679253849 26.475431442260742
22987 251.83197965390332 -45.79562134189894 4.34 0.11669696712209507 16.049598693847656
22989 251.77791846801634 -45.839169178511064 1.016 0.07503544759741004 24.905256271362305
22989 251.7310092858694 -45.82996387359295 2.744 0.14589770355960968 11.612590789794922
22989 251.68644090670227 -45.801338801749964 5.261 0.33246695321692815 9.811973571777344
22989 251.72263979322412 -45.88356990701337 3.138 0.19808487029504984 10.693663597106934
23279 251.80306803249638 -45.86937274933734 1.222 0.11814831357249651 12.625868797302246
23279 251.73882774261608 -45.85540393806571 1.59 0.16991844645280718 7.174770832061768
23279 251.73119448621566 -45.849081914865785 2.028 0.171900374248568 6.677862167358398
23279 251.78911408115488 -45.848729536545285 1.068 0.1656995272572214 5.204148292541504
23279 251.7092169242557 -45.85287334299824 2.824 0.17621561137094738 4.440993785858154
23279 251.7931234850044 -45.835933858357066 1.823 0.1684467847377513 7.534472465515137
23279 251.75074005370357 -45.99006373746551 7.656 0.7662749459828738 6.728702545166016
23279 251.88269224317347 -45.89373883909456 4.848 0.5064476491537587 7.782087326049805
23281 251.75358635518793 -45.8344470768831 1.948 0.1135401267568517 19.52623176574707
23281 251.75489104614027 -45.878942313753825 1.189 0.14911078655392113 6.8538594245910645
23281 251.77769677143613 -45.840370779018855 1.42 0.10607574950762592 10.127144813537598
23287 251.76896230853652 -45.866693356496185 0.22 0.14153415371072584 5.2355546951293945
23287 251.79980027615392 -45.78702401406765 4.971 0.289967567892778 8.753746032714844
23287 251.79277907104412 -45.84666613306465 1.676 0.18330905056621646 6.557667255401611
23288 251.77168388139518 -45.90297602851246 2.242 0.1778896575914066 5.191004276275635
23288 251.74013982983678 -45.85158715717431 1.318 0.17058312505756001 4.708021640777588
23288 251.73344726182162 -45.8620719511046 1.296 0.1269920869112333 16.570823669433594
24827 251.762095137987 -45.84780300970523 0.7433333333333334 0.116766574624471 11.65531063079834
24828 251.66698233204573 -45.901186813894945 5.24 0.4350999116117587 8.49756145477295
24828 251.81113346425568 -45.83991885735925 1.815 0.16357235911584214 7.357846736907959
24828 251.66678450911155 -45.8039365321885 5.473 0.5017379813477463 6.92498779296875
24828 251.77026958307772 -45.84051692514765 0.9416666666666667 0.1323465335334476 7.05765438079834
25051 251.74089436447716 -45.92058284931135 4.356 0.2999756368709844 6.64616060256958
25055 251.7346739408865 -45.83535280659722 2.088 0.11851579589504815 11.101466178894043
25057 251.75611450069403 -45.84246532712893 1.497 0.1447170296361304 6.22123384475708
25057 251.7584584511884 -45.85462219526308 0.885 0.17354514302233562 4.821042060852051
25057 251.7690894017482 -45.83568810266769 1.69 0.1575310847632645 6.161154270172119
25057 251.75133931631743 -45.949722964600554 5.268 0.6482744802545245 4.401717662811279
25058 251.73618944926713 -45.863605413923636 1.603 0.11130875692836165 10.933767318725586
25058 251.77743981092365 -45.81189279715941 3.12 0.2422194500861365 7.4378228187561035
25058 251.8110346235814 -45.839763221015794 2.101 0.15245804927973372 5.47440767288208
25073 251.690519082042 -45.87680791644981 3.146 0.25149689470566217 5.175039291381836
25073 251.7043552251063 -45.86774339820249 2.499 0.14160734109931666 8.395186424255371
25073 251.75851311002606 -45.84531174753779 1.245 0.14282315435134904 7.063146591186523
25073 251.78402503248043 -45.832678432519124 2.149 0.15282024497620472 6.963119029998779
25073 251.7802925103444 -45.85264038948428 1.035 0.0 6.142577171325684
25097 251.79048764842224 -45.86681575505318 1.435 0.14815963303979193 8.56450080871582
25097 251.77386390958154 -45.853649427431655 0.86 0.14077993464976282 7.696205139160156
25097 251.73482700328898 -45.87516899823249 1.223 0.19627255709016264 5.585884094238281
25097 251.8707728512197 -45.81855573841937 5.42 0.426188005161345 7.726500988006592
25098 251.77070761636762 -45.93433044101147 4.385 0.20633498653080723 23.651660919189453
25098 251.7505051163692 -45.81568844567962 2.784 0.17764563978128806 6.763878345489502
25683 251.81511675356123 -45.85474052976695 2.753 0.10516676677481808 13.387970924377441
25683 251.7520179720801 -45.831940671858504 1.729 0.1183476608017493 10.038350105285645
25683 251.76674478040383 -45.871914436957475 0.9766666666666667 0.15040234106385025 7.829916477203369
25683 251.7513837248471 -45.82940613768431 1.879 0.20629276825923015 4.860203266143799
25683 251.69413537488052 -45.917598528891716 4.13 0.19634868658670335 16.73959732055664
25683 251.83408956407854 -45.801857434089726 4.989 0.37213387110031104 5.691873550415039
22689 131.31214962247364 -41.232240486484464 5.847 0.2045297232030184 33.147918701171875
22689 131.21388676289547 -41.199354993693035 3.923 0.16974124080529157 21.379779815673828
22689 131.17897676237627 -41.35422903161429 5.556 0.4521052364226713 6.592169761657715
22689 131.2929071746096 -41.245701743221204 4.801 0.257123329870852 12.559647560119629
22689 131.07521257202356 -41.21672621104498 5.794 0.5627968198618558 5.9399237632751465
24757 131.06699861005154 -41.20605371545207 6.064 0.7145081814318306 5.0095534324646
24757 131.1627529386592 -41.27959614738938 1.559 0.09050088539992107 15.788199424743652
24757 131.1570887487828 -41.259908843132244 1.137 0.04314709162204051 87.29435729980469
24757 131.231743828632 -41.33203533372286 4.967 0.2168708813250455 9.116678237915039
24757 131.20770380750562 -41.36803328868096 6.695 0.14744952450178392 100.80224609375
