ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match
23798,69.51690785886844,-12.271767606197152,2.659,0.1127078837321851,3.474945545196533,yes,no,yes,no
23798,69.50049413657463,-12.36460259180175,5.944,0.6124482216634608,5.757307529449463,no,no,yes,no
25911,3.522855388740988,-30.343427829392528,4.663,0.4182766403457993,5.024651527404785,yes,no,yes,no
25917,3.77778433535247,-30.40962237041527,9.827,1.0156965243883764,5.188941478729248,yes,no,yes,no
25922,3.685826061632364,-30.4738969148142,6.766,0.5513541982201522,5.058663845062256,no,no,no,no
25929,3.6219073052272712,-30.46584940569717,4.274,0.2915555555556447,4.198468208312988,no,no,no,no
25950,3.738190518732573,-30.44614144169092,8.279,0.8650519002483513,4.840493679046631,yes,no,yes,no
25960,3.5226316379703464,-30.34379550077202,4.692,0.4154158450512346,7.412874698638916,yes,no,yes,no
25967,3.692247738514452,-30.40066195260788,5.251,0.4230756559883305,7.291473388671875,yes,no,yes,no
27449,3.6298238240970826,-30.37770675498721,2.487,0.174795688397219,5.6744585037231445,no,no,no,no
27575,3.6549378190710153,-30.38021082131701,3.713,0.1823555373440176,9.799097061157228,no,no,no,no
28370,3.5834995602729838,-30.46059222810089,3.755,0.2860221436647945,2.9847803115844727,no,no,yes,no
28872,3.6546031682268674,-30.380326016092383,3.424,0.2119004799690516,6.963069915771484,no,no,yes,no
25402,81.40564455681681,-45.97196548976228,3.721,0.3840673769014787,1.6971588134765625,no,no,no,no
27409,336.8874750279704,0.4186730344496477,4.204,0.3848453193226772,7.6416096687316895,no,no,no,no
27970,297.3021206051354,-10.61051158745641,2.55,0.1712087541571131,4.2000732421875,yes,no,no,no
27970,297.30230119317474,-10.610126090353214,2.532,0.148471545375808,11.968327522277832,yes,no,no,no
27970,297.3147332757167,-10.48049340901987,5.621,0.4064413462002935,7.562683582305908,yes,no,no,no
28972,342.439644828048,-44.81051436253372,6.122,0.5141121557033106,3.756394624710083,no,no,no,no
28914,351.36785039068684,-9.756191826116112,3.627,0.3455021752266134,8.991790771484375,no,no,no,no
29040,38.203598542117774,-21.40042825461713,7.687,0.8360488646854403,7.620090961456299,no,no,no,no
29040,38.21516537350567,-21.289119825211813,4.509,0.2566490970776489,12.771592140197754,yes,no,yes,no
24508,308.1870516884749,-40.68302805911858,9.851,0.8536982721234189,9.309959411621094,yes,no,no,no
24329,305.5841623571134,-55.5670862212444,6.986,0.7899458454727676,6.261404991149902,yes,no,no,no
26075,89.82670912567154,-20.223301384078106,10.889,0.1442385627439368,244.664306640625,yes,no,no,no
26941,50.873490158542566,-6.78681829083582,4.319,0.4536015872989564,4.032780170440674,no,no,no,no
27215,64.49824511256098,-47.74136236502209,6.308,0.537485085904327,5.538585186004639,no,no,no,no
27462,5.046432605238026,1.5514924564810282,9.789,0.4779476956306985,31.23647117614746,yes,no,no,no
27462,5.182639685260209,1.5784877179186605,1.739,0.1295885411603073,10.10831356048584,no,no,no,no
3411,310.96707808423787,77.2909379691947,1.42,0.0867707246484801,11.954506874084473,yes,no,no,no
3411,311.12918427397165,77.204596079829,5.626,0.2393142715942846,24.6729793548584,no,no,no,no
3412,310.74511413204254,77.31812327093405,2.99,0.1690075501273631,5.033197402954102,yes,no,no,no
4418,132.72566814533909,18.52129341059005,4.431,0.2290332662649206,16.58043098449707,yes,no,no,no
8217,256.2566675972802,-22.126867545960085,0.2833333333333333,0.2249252675887904,4.820322513580322,no,no,no,no
8218,257.4887742745794,-22.20374881804638,3.474,0.1617442024129219,21.50151634216309,yes,no,no,no
12317,191.8662912783992,-2.1568809851102078,0.64,0.0607691890992626,33.19414138793945,no,no,no,no
12318,191.7670164902476,-2.1180963272959343,0.8966666666666666,0.0444518725861606,61.83076477050781,no,no,no,no
630,269.3014724953938,66.69052632276579,8.236,0.773415283109652,11.039246559143066,no,no,no,no
635,246.91221778940647,-24.672350038225943,7.552,0.1583203131753629,85.25835418701172,no,no,no,no
635,246.866748109412,-24.65933077846842,5.588,0.0175849040760876,1074.9595947265625,no,no,no,no
635,246.8144088664233,-24.44450900866925,7.79,0.1223852656729684,134.460693359375,no,no,no,no
635,246.79882236306955,-24.64227557228557,4.36,0.0884383149989859,60.571510314941406,no,no,no,no
635,246.86277346377747,-24.53831363737394,2.934,0.0303268487572153,315.59600830078125,no,no,no,no
635,246.92289141068733,-24.59391169122026,5.425,0.2919408704173196,12.058623313903809,no,no,no,no
635,246.85097737500595,-24.491593744308936,5.125,0.2801986901037618,20.883390426635746,no,no,no,no
635,246.76892016495117,-24.454254363542,7.825,0.3650419120202712,16.335063934326172,no,no,yes,no
