# TEXT/SIMPLE
# elo ehi spectrum
5.9999999966577e-01 6.0999999965463e-01 6.0662031016969e-09
6.0999999965463e-01 6.1999999964349e-01 6.7878249290281e-09
6.1999999964349e-01 6.2999999963235e-01 7.5423788403183e-09
6.2999999963235e-01 6.3999999962120e-01 8.3263825502600e-09
6.3999999962120e-01 6.4999999961006e-01 9.1361957796080e-09
6.4999999961006e-01 6.5999999959892e-01 9.9680699627228e-09
6.5999999959892e-01 6.6999999958778e-01 1.0818227071177e-08
6.6999999958778e-01 6.7999999957664e-01 1.1682883040216e-08
6.7999999957664e-01 6.8999999956550e-01 1.2558341246229e-08
6.8999999956550e-01 6.9999999955436e-01 1.3440960660179e-08
6.9999999955436e-01 7.0999999954322e-01 1.4324721913370e-08
7.0999999954322e-01 7.1999999953208e-01 1.5208610272907e-08
7.1999999953208e-01 7.2999999952093e-01 1.4131729336278e-08
7.2999999952093e-01 7.3999999950979e-01 1.3129754473685e-08
7.3999999950979e-01 7.4999999949865e-01 1.3891628770487e-08
7.4999999949865e-01 7.5999999948751e-01 1.4652088535405e-08
7.5999999948751e-01 7.6999999947637e-01 1.5408924692757e-08
7.6999999947637e-01 7.7999999946523e-01 1.6160033007359e-08
7.7999999946523e-01 7.8999999945409e-01 1.6903476075372e-08
7.8999999945409e-01 7.9999999944295e-01 1.7633692508672e-08
7.9999999944295e-01 8.0999999943181e-01 1.8352607033091e-08
8.0999999943181e-01 8.1999999942067e-01 1.9062841252608e-08
8.1999999942067e-01 8.2999999940952e-01 1.9759184697253e-08
8.2999999940952e-01 8.3999999939838e-01 2.0440437829473e-08
8.3999999939838e-01 8.4999999938724e-01 2.1105569210630e-08
8.4999999938724e-01 8.5999999937610e-01 2.1416959261060e-08
8.5999999937610e-01 8.6999999936496e-01 2.1701979213440e-08
8.6999999936496e-01 8.7999999935382e-01 2.0506616611595e-08
8.7999999935382e-01 8.8999999934268e-01 1.9383476189740e-08
8.8999999934268e-01 8.9999999933154e-01 1.9937174282481e-08
8.9999999933154e-01 9.0999999932040e-01 2.0476711144466e-08
9.0999999932040e-01 9.1999999930925e-01 2.1001557640897e-08
9.1999999930925e-01 9.2999999929811e-01 2.1511309739769e-08
9.2999999929811e-01 9.3999999928697e-01 2.2005041174660e-08
9.3999999928697e-01 9.4999999927583e-01 2.2483024307788e-08
9.4999999927583e-01 9.5999999926469e-01 2.2945661362768e-08
9.5999999926469e-01 9.6999999925355e-01 2.3392194713303e-08
9.6999999925355e-01 9.7999999924241e-01 2.3822556516224e-08
9.7999999924241e-01 9.8999999923127e-01 2.4236708230043e-08
9.8999999923127e-01 9.9999999922013e-01 2.4634654576051e-08
9.9999999922013e-01 1.009999999209 2.5016440424141e-08
1.009999999209 1.019999999198 2.5382176944163e-08
1.019999999198 1.029999999187 2.5718943585039e-08
1.029999999187 1.039999999176 2.6039796891974e-08
1.039999999176 1.049999999164 2.6358339593020e-08
1.049999999164 1.059999999153 2.6661552605143e-08
1.059999999153 1.069999999142 2.6949676251386e-08
1.069999999142 1.079999999131 2.7193844707260e-08
1.079999999131 1.089999999120 2.7423440845462e-08
1.089999999120 1.099999999109 2.7668419839325e-08
1.099999999109 1.109999999098 2.7899484166723e-08
1.109999999098 1.119999999086 2.8116945372372e-08
1.119999999086 1.129999999075 2.8321136195155e-08
1.129999999075 1.139999999064 2.8512378586362e-08
1.139999999064 1.149999999053 2.8691016155146e-08
1.149999999053 1.159999999042 2.8857386650860e-08
1.159999999042 1.169999999031 2.9011829472104e-08
1.169999999031 1.179999999020 2.9154679950744e-08
1.179999999020 1.189999999008 2.9286298062672e-08
1.189999999008 1.199999998997 2.9407011953810e-08
1.199999998997 1.209999998986 2.9517163343318e-08
1.209999998986 1.219999998975 2.9617101384512e-08
1.219999998975 1.229999998964 2.9707144512652e-08
1.229999998964 1.239999998953 2.9787625931509e-08
1.239999998953 1.249999998942 2.9858875940449e-08
1.249999998942 1.259999998930 2.9921215354990e-08
1.259999998930 1.269999998919 2.9974955897950e-08
1.269999998919 1.279999998908 3.0020400571181e-08
1.279999998908 1.289999998897 3.0057866329270e-08
1.289999998897 1.299999998886 3.0087629576416e-08
1.299999998886 1.309999998875 3.0110003112142e-08
1.309999998875 1.319999998864 2.9615560663646e-08
1.319999998864 1.329999998852 2.9131223996464e-08
1.329999998852 1.339999998841 2.9150023757606e-08
1.339999998841 1.349999998830 2.9162345813867e-08
1.349999998830 1.359999998819 2.9168441544170e-08
1.359999998819 1.369999998808 2.9168550135808e-08
1.369999998808 1.379999998797 2.9162896232795e-08
1.379999998797 1.389999998786 2.9151719246622e-08
1.389999998786 1.399999998774 2.9135241334409e-08
1.399999998774 1.409999998763 2.9113665387673e-08
1.409999998763 1.419999998752 2.9087209267222e-08
1.419999998752 1.429999998741 2.9056071982337e-08
1.429999998741 1.439999998730 2.9020456341425e-08
1.439999998730 1.449999998719 2.8980547132418e-08
1.449999998719 1.459999998708 2.8936533299755e-08
1.459999998708 1.469999998696 2.8888591823225e-08
1.469999998696 1.479999998685 2.8836903947235e-08
1.479999998685 1.489999998674 2.8781628994886e-08
1.489999998674 1.499999998663 2.8722936177575e-08
1.499999998663 1.509999998652 2.8660976099314e-08
1.509999998652 1.519999998641 2.8595906781973e-08
1.519999998641 1.529999998630 2.8527873306822e-08
1.529999998630 1.539999998619 2.8457018264056e-08
1.539999998619 1.549999998607 2.8383479378222e-08
1.549999998607 1.559999998596 2.8307387265723e-08
1.559999998596 1.569999998585 2.8197995544370e-08
1.569999998585 1.579999998574 2.8086958703761e-08
1.579999998574 1.589999998563 2.8005014944787e-08
1.589999998563 1.599999998552 2.7920989625905e-08
1.599999998552 1.609999998541 2.7834986057560e-08
1.609999998541 1.619999998529 2.7747122536879e-08
1.619999998529 1.629999998518 2.7657490635553e-08
1.629999998518 1.639999998507 2.7566192489952e-08
1.639999998507 1.649999998496 2.7473326881866e-08
1.649999998496 1.659999998485 2.7378984918500e-08
1.659999998485 1.669999998474 2.7283252540459e-08
1.669999998474 1.679999998463 2.7186215086823e-08
1.679999998463 1.689999998451 2.7087952973099e-08
1.689999998451 1.699999998440 2.6988548317788e-08
1.699999998440 1.709999998429 2.6888076341767e-08
1.709999998429 1.719999998418 2.6786605637996e-08
1.719999998418 1.729999998407 2.6684208893999e-08
1.729999998407 1.739999998396 2.6580954406907e-08
1.739999998396 1.749999998385 2.6476904189724e-08
1.749999998385 1.759999998373 2.6372124422344e-08
1.759999998373 1.769999998362 2.6266667043067e-08
1.769999998362 1.779999998351 2.6160596425521e-08
1.779999998351 1.789999998340 2.6053964956155e-08
1.789999998340 1.799999998329 2.5946823384194e-08
1.799999998329 1.809999998318 2.5839222838046e-08
1.809999998318 1.819999998307 2.5731214800994e-08
1.819999998307 1.829999998295 2.5622841434296e-08
1.829999998295 1.839999998284 2.5514151256469e-08
1.839999998284 1.849999998273 2.5132630213362e-08
1.849999998273 1.859999998262 2.4759281185038e-08
1.859999998262 1.869999998251 2.4658431947257e-08
1.869999998251 1.879999998240 2.4557286132109e-08
1.879999998240 1.889999998229 2.4455881010348e-08
1.889999998229 1.899999998217 2.4354250898078e-08
1.899999998217 1.909999998206 2.4252432708989e-08
1.909999998206 1.919999998195 2.4150456840346e-08
1.919999998195 1.929999998184 2.4048358142508e-08
1.929999998184 1.939999998173 2.3946163319654e-08
1.939999998173 1.949999998162 2.3843903562339e-08
1.949999998162 1.959999998151 2.3741607380293e-08
