,ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
23,23484,187.6265047829964,41.648230254634655,3.36,0.19485101376202604,16.97547721862793,no,no,yes,no,no,no,no,yes
24,7607,171.88603809117976,56.88492190784222,0.22,0.12673615314387285,6.942936420440674,no,no,yes,no,no,no,no,no
25,10875,187.04671478807748,44.11074048161843,0.25666666666666665,0.018331681798992805,182.7206268310547,no,yes,yes,no,no,no,no,yes
26,14423,225.7189094677956,-41.87922065568797,2.632,0.14402526633810356,14.000763893127441,no,no,yes,no,no,no,no,no
27,16580,149.03367777485462,69.69440368173639,2.374,0.04363369015684483,55.84620666503906,no,yes,yes,no,no,no,no,yes
28,803,186.3815785116022,13.066452477077807,13.285,0.23062897899287807,107.89669036865234,no,no,no,no,no,no,no,no
29,2015,186.15924798381576,7.351942012555944,4.421,0.14886448248746398,30.479211807250977,no,yes,yes,no,no,no,no,no
30,2025,167.86794009301224,55.672527887945414,2.408,0.09718248253236364,19.887924194335938,no,no,no,no,no,no,no,yes
31,4725,187.66200514672303,41.63618005116683,1.975,0.06945882352939318,31.831634521484375,no,yes,yes,no,no,no,no,yes
32,4725,187.62625478972737,41.64812506671912,2.02,0.034568814327809345,108.31376647949219,no,no,yes,no,no,no,no,yes
33,4726,187.62638986287914,41.6480592803345,2.356,0.09083076923061785,22.95244026184082,no,no,yes,no,no,no,no,yes
34,6114,210.71364774383446,54.32170760473468,4.556,0.23141401349158136,13.847050666809082,no,no,yes,no,no,no,no,yes
35,6114,210.5931734583428,54.29969013415186,8.76,0.5663893962893126,11.97896957397461,no,yes,yes,no,no,no,no,yes
36,4736,210.59384105703305,54.29936309668409,10.459,0.5889444903705796,17.793697357177734,no,yes,yes,no,no,no,no,yes
37,6175,210.90008874117711,54.32359853301023,3.032,0.05701475972863409,67.26119995117188,no,yes,yes,no,no,no,no,yes
38,5197,183.90936985365818,36.32251186465801,1.873,0.023098998054959616,292.1666259765625,no,yes,yes,no,no,no,no,yes
39,5944,148.92578799953884,69.06009443223603,0.9299999999999999,0.030282874448691884,112.18681335449219,no,yes,yes,no,no,no,no,yes
40,7069,56.61430962707143,68.06964363567636,4.287,0.06901744957773923,104.44119262695312,no,yes,yes,no,no,no,no,yes
41,9548,170.0728807666797,12.971882783463144,1.275,0.03867481038766052,60.85281753540039,no,no,no,no,no,no,no,yes
42,10544,149.03384567068898,69.69431015002532,3.442,0.049552955735056976,62.701229095458984,no,yes,yes,no,no,no,no,yes
43,11800,148.87019697748872,69.7287064248585,6.051,0.5202992454188718,7.578289031982422,no,yes,yes,no,no,no,no,no
44,13812,202.4165433721004,47.21029684069274,3.847,0.030751436915123796,275.10247802734375,no,yes,yes,no,no,no,no,yes
45,13812,202.44213962528724,47.178456250271985,2.335,0.01897483354287128,323.5163879394531,no,yes,yes,no,no,no,no,yes
46,13813,202.44220947124563,47.17843997828299,2.361,0.02039934090027542,252.84051513671875,no,yes,yes,no,no,no,no,yes
47,13813,202.41666435363896,47.21028981668627,3.874,0.027690711802391396,309.9554748535156,no,yes,yes,no,no,no,no,yes
48,13814,202.51804244499994,47.2224565077367,2.583,0.019676885511017945,270.2528381347656,no,yes,yes,no,no,no,no,yes
49,13814,202.44226084434757,47.178419787084515,2.66,0.027601785280353886,164.49539184570312,no,yes,yes,no,no,no,no,yes
50,16302,209.0045509377188,-32.58772925966856,7.781,0.555746802934705,12.53305435180664,no,no,no,no,no,no,no,no
51,21383,111.70249333201733,85.76353299579593,1.417727511886509,0.05559418455541942,62.07311248779297,no,no,yes,no,no,no,no,yes
52,22479,56.614313822519236,68.06973402993304,6.431003805375375,0.30336822578941813,26.525197982788086,no,yes,yes,no,no,no,no,yes
53,348,182.72360421174918,39.396881549492825,4.632995963206679,0.2841293828044356,6.619015216827393,no,yes,no,no,no,no,no,no
54,379,148.76574949041165,69.7248229605404,1.271618945189501,0.10966269573960002,11.335463523864746,no,yes,yes,no,no,no,no,no
55,3043,180.4583460770313,-18.83161986456882,3.349013957685508,0.06472400701881416,77.69713592529297,no,yes,yes,no,no,no,no,yes
56,7800,201.45292014993865,-42.92507242190407,2.872749640613374,0.08856278600757846,28.22768211364746,no,no,yes,no,no,no,no,yes
57,8490,201.24334997451078,-43.04058362089512,3.782233480541346,0.18944898660358345,9.574898719787598,no,no,no,no,no,no,no,yes
58,12119,130.10477626245608,29.88249220834511,7.310455542124048,0.5661929916600981,11.723057746887207,no,yes,yes,no,no,no,no,no
59,16093,233.73480744808168,23.468395083131767,2.197180864536183,0.16527628384004028,9.558987617492676,no,no,no,no,no,no,no,no
60,19975,130.37716859239978,39.41572471850456,6.578623674260729,0.4858025306290888,8.872663497924805,no,no,yes,no,no,no,no,no
61,20794,201.41881511522328,-43.0208829058858,2.39034338361573,0.041626633737529714,67.92098236083984,no,no,yes,no,no,no,no,yes
62,22558,289.5899791966488,49.60696220308787,4.243280609000192,0.14811883778299084,43.53049850463867,no,no,no,no,no,no,no,no
63,1711,187.26501004517715,2.0582478181341832,1.311758577243688,0.09349744753413779,28.55701446533203,no,no,no,no,no,no,no,no
64,2228,199.2384759393381,29.247318957366886,5.527383734329224,0.20672183643376002,37.585166931152344,no,no,no,no,no,no,no,no
65,3214,238.11093863445313,20.199880497244784,4.868652141868343,0.347787801683844,14.561261177062988,no,no,no,no,no,no,no,no
66,5008,168.65564901054668,53.31970438814179,5.61923878934881,0.3804371088322705,16.145349502563477,no,no,yes,no,no,no,no,no
67,5008,168.8803751075656,53.24434352967916,3.655942368452228,0.1507304705111214,17.67791175842285,no,no,yes,no,no,no,no,no
68,5008,168.7658163135809,53.29662907169896,1.523355520430037,0.12177086881238314,14.553478240966797,no,no,yes,no,no,no,no,no
69,6949,263.3220172804969,43.81963802614086,3.926723242425565,0.19373179077846367,19.312686920166016,no,no,yes,no,no,no,no,no
70,10475,136.6648391109298,2.959591438809165,5.541670897138346,0.37772733293576405,10.080682754516602,no,no,no,no,no,no,no,no
71,11736,187.6231029750491,13.756991698712392,6.607333163185162,0.4057054091482877,12.169886589050293,no,yes,yes,no,no,no,no,no
72,11755,157.34828286057686,26.34364507718833,4.042917429446685,0.1433206678377065,25.121498107910156,no,no,no,no,no,no,no,no
73,11756,159.58642486222007,48.85786029080039,3.587778631625872,0.07809473965752262,61.83549880981445,no,no,yes,no,no,no,no,no
74,11756,159.6845201362163,48.87229559953806,2.08104563935741,0.06948346004249599,34.14570617675781,no,no,no,no,no,no,no,no
75,11756,159.8017393537768,48.93710688254627,7.810722776620025,0.37752808645412034,17.151269912719727,no,no,yes,no,no,no,no,no
76,12202,190.75429831939084,13.204612287617689,4.472197341254025,0.0,26.923824310302734,no,yes,no,no,no,no,no,no
77,12884,212.12046698241707,-27.057995046513206,12.96067926361244,0.4060499533637473,33.672420501708984,no,no,no,no,no,no,no,no
78,15136,175.4805439043094,58.38391095070012,7.492424545965578,0.5215759961070561,19.790863037109375,no,no,no,no,no,no,no,no
79,17669,225.93274495253945,-2.8682501987335107,4.96383236271853,0.22544783642522617,23.516122817993164,no,yes,yes,no,no,no,no,no
80,17615,207.53711857084107,26.59893912497961,5.711162337269705,0.26226116118595433,6.774993419647217,no,no,yes,no,no,no,no,no
81,17615,207.5859188180204,26.600122868996287,4.410553538340666,0.13662433143405234,45.14386749267578,no,yes,yes,no,no,no,no,no
82,17615,207.71557336950661,26.648242074113504,6.02493919393899,0.41386854124678363,10.587577819824219,no,no,yes,no,no,no,no,no
83,17615,207.51895337384124,26.649375311700496,4.862071864792435,0.2882674303256838,13.59962272644043,no,no,yes,no,no,no,no,no
84,17615,207.62468652582336,26.699890795760325,1.977509356508181,0.1439226009563509,6.522733211517334,no,no,no,no,no,no,no,no
85,17615,207.50298500643007,26.71285258129447,6.068781437802147,0.42304540493176507,12.169645309448242,no,yes,yes,no,no,no,no,no
86,17615,207.61485640001945,26.74965801749441,4.72088478353359,0.40809109511927694,10.60042667388916,no,no,no,no,no,no,no,no
87,17615,207.52049768881398,26.580941431938168,7.111512320300052,0.7330362584823292,6.090328216552734,no,yes,yes,no,no,no,no,no
88,17615,207.6604501935119,26.582907743359552,6.051468470229593,0.4372438075032471,14.871649742126465,no,yes,yes,no,no,no,no,no
89,17615,207.50984869268524,26.652322178423404,5.292606000523985,0.500709899308784,6.60373067855835,no,no,yes,no,no,no,no,no
90,17615,207.58164031928172,26.776978948417817,6.47298819048593,0.5728090323132854,2.812655210494995,no,no,yes,no,no,no,no,no
91,21831,207.3471871384415,26.584446826043,5.859147728064056,0.42488448932424777,11.657370567321777,no,no,no,no,no,no,no,no
92,5846,215.20982671106995,52.96306421012806,5.648622058365254,0.17862405936449008,32.83747482299805,no,yes,yes,no,no,no,no,no
93,8000,150.34252272198546,2.2263582083435094,7.166194536199452,0.3327742888124951,31.7813720703125,no,yes,yes,no,no,no,no,no
94,11777,138.08401398517003,35.05534601417812,1.925351995790405,0.06534096201665995,44.42704391479492,no,no,no,no,no,no,no,no
95,15212,149.8386828672696,2.6751388444420963,5.594693507221649,0.11452543267965365,59.296287536621094,no,yes,yes,no,no,no,no,no
96,15232,150.63906184148968,2.464371898752999,2.941287974766102,0.08595561249313952,37.4415168762207,no,yes,yes,no,no,no,no,no
97,12315,36.43187002828079,12.872318375339123,1.435284349242945,0.0544260063729582,49.055599212646484,no,no,no,no,no,no,no,no
98,1522,83.80086701809685,-5.415629652270926,1.444709738130435,0.13019713820172166,15.38604736328125,no,no,yes,no,no,no,no,no
99,1522,83.80974515828647,-5.388106925454514,0.2911693241072481,0.03674072489627364,26.815608978271484,no,no,yes,no,no,no,no,no
100,19,285.4693401999303,-36.949943652049235,1.687494013400095,0.09201432859420942,29.451278686523438,no,yes,yes,no,no,no,no,no
101,1878,85.447705450966,-1.9240613099292654,0.3037398870854205,0.018803427867787173,278.1632385253906,no,no,no,no,no,no,no,no
102,1878,85.45288162901585,-1.9044621698022297,1.013853539367971,0.1437685823586759,12.358415603637695,no,no,no,no,no,no,no,no
103,1878,85.43966365444881,-1.907535102359543,0.7991127553314157,0.03911426387528987,51.3908576965332,no,no,no,no,no,no,no,no
104,1878,85.41275574031346,-1.9407626473174748,2.330733330342241,0.04533958073475892,82.64726257324219,no,yes,no,no,no,no,no,no
105,1882,91.90500119869004,-6.381479476814601,3.365233582209779,0.10478694400187595,25.836931228637695,no,no,no,no,no,no,no,no
106,1882,91.94413001748939,-6.377147557648283,1.076699381974643,0.0544229230423154,27.959571838378906,no,no,no,no,no,no,no,no
107,1882,91.94014138162822,-6.381841345712502,1.269817892678333,0.1178747045536231,10.932162284851074,no,no,no,no,no,no,no,no
108,1882,91.89683250249783,-6.3854129135172935,3.856542726173842,0.16074928304642344,8.042570114135742,no,no,no,no,no,no,no,no
109,2561,282.4394568139593,-23.83791575019641,0.8715822320025858,0.09692781771084988,21.403287887573242,no,no,no,no,no,no,no,no
110,2561,282.440168450901,-23.837838905533452,0.8407730788202981,0.06742176620914293,28.270118713378906,no,no,no,no,no,no,no,no
111,2561,282.44387526938084,-23.83750655622328,0.6915575310799538,0.06268094396133121,61.630741119384766,no,no,no,no,no,no,no,no
112,2561,282.4458599344107,-23.83736683023676,0.6228731553170114,0.0706722544357437,36.07608413696289,no,no,no,no,no,no,no,no
113,2561,282.4449473964473,-23.837396879152433,0.6545813807164336,0.0534317377981008,39.690773010253906,no,no,no,no,no,no,no,no
114,2561,282.44746569551455,-23.837210351153004,0.5787384872995903,0.05707181089215358,27.250289916992188,no,no,no,no,no,no,no,no
115,2561,282.4470377254263,-23.8372362178969,0.5903084370164412,0.05398441444205665,31.250879287719727,no,no,no,no,no,no,no,no
116,2561,282.446451859168,-23.83726256068844,0.6077054687438902,0.05756639372029881,24.669414520263672,no,no,no,no,no,no,no,no
117,2561,282.4481578285401,-23.837150837291396,0.5625425912142261,0.05266541479333799,20.486295700073242,no,no,no,no,no,no,no,no
118,2561,282.4477829903249,-23.837102871701905,0.5751994564755929,0.0,18.93100929260254,no,no,no,no,no,no,no,no
119,2561,282.46199706696996,-23.835881039733845,0.7505580198921017,0.05699037145892506,23.30048179626465,no,no,no,no,no,no,no,no
120,2561,282.46393076552255,-23.835724600174203,0.8301571720550548,0.06275395266226143,52.58583068847656,no,no,no,no,no,no,no,no
121,2561,282.4631981992514,-23.83581067714841,0.7981068253132219,0.057688228724364486,23.846826553344727,no,no,no,no,no,no,no,no
122,2561,282.4678100685155,-23.835373011570958,1.006352896114541,0.04970985386590347,35.8990478515625,no,no,no,no,no,no,no,no
123,2561,282.4705989960918,-23.835151973288433,1.140002073008689,0.0782640932529263,16.185482025146484,no,no,no,no,no,no,no,no
124,2561,282.47004878204973,-23.83519207562331,1.113342171914707,0.08192150216539504,26.29973793029785,no,no,no,no,no,no,no,no
125,2561,282.4694225542699,-23.835201192641204,1.084463236588961,0.08321797675634057,20.559242248535156,no,no,no,no,no,no,no,no
126,3498,83.84506190133419,-5.33963668158242,3.677662089235541,0.06239170297961291,46.66818618774414,no,no,yes,no,no,no,no,no
127,3498,83.80363523542815,-5.397575936620514,0.911706008390348,0.05937837856918349,23.407012939453125,no,no,yes,no,no,no,no,no
128,3498,83.82902348093633,-5.472760911879404,4.70530861006338,0.38709970874485,7.300720691680908,no,no,no,no,no,no,no,no
129,3744,83.81679280131196,-5.329029156321077,3.975524692926778,0.15067854270673575,10.353322982788086,no,no,yes,no,no,no,no,no
130,3744,83.79362095691963,-5.36370302596478,2.428729140463489,0.03695273916099666,38.54632568359375,no,no,yes,no,no,no,no,no
131,3744,83.8272238728125,-5.3638703377836645,1.9442138364548,0.024093627732544403,60.04368209838867,no,no,yes,no,no,no,no,no
132,3744,83.6223155433693,-5.398701439008619,11.7565138221813,0.0,68.26818084716797,no,no,no,no,no,no,no,no
133,4373,83.80658555089857,-5.39864299739431,0.7681538585442201,0.013436905473647264,159.6243438720703,no,no,yes,no,no,no,no,no
134,4373,83.85929741013345,-5.372040105134734,2.780770516384858,0.13564159295320463,9.557092666625977,no,no,yes,no,no,no,no,no
135,4373,83.79356399966073,-5.363688489601391,2.423811982090406,0.024516131849812547,119.53146362304688,no,no,yes,no,no,no,no,no
136,4373,83.80849576188501,-5.336756426073343,3.561267822014398,0.06015481504213885,44.824867248535156,no,no,yes,no,no,no,no,no
137,4373,83.81529479465796,-5.394128119232291,0.2284443509482057,0.012025455516235403,158.53836059570312,no,no,yes,no,no,no,no,no
138,4374,83.81679188584388,-5.329024757943899,3.967000119727853,0.06829315599998363,33.835548400878906,no,no,yes,no,no,no,no,no
139,4374,83.83531232793393,-5.325719948604951,4.277701799854857,0.08130003155995819,25.97888946533203,no,no,yes,no,no,no,no,no
140,4374,83.77554519169239,-5.385051247646049,2.657196119804842,0.12337904558263604,9.88786792755127,no,no,no,no,no,no,no,no
141,4374,83.82720795514842,-5.363862797425535,1.939875685107305,0.03874977922674582,36.133148193359375,no,no,yes,no,no,no,no,no
142,4374,83.80050685745039,-5.413227113465124,1.544148857194496,0.037979846749329256,41.79490661621094,no,no,yes,no,no,no,no,no
143,4374,83.80509932055605,-5.398701906448282,0.8501292598965036,0.029419853112493868,37.30685043334961,no,no,yes,no,no,no,no,no
144,4374,83.87650315494118,-5.377183696328005,3.607033843679437,0.03550175852123278,172.98367309570312,no,no,yes,no,no,no,no,no
145,4374,83.81045633566163,-5.441706219308502,2.8405921802473,0.18152540615004437,7.671844482421875,no,no,yes,no,no,no,no,no
146,4374,83.80511078196487,-5.369347347874403,1.750535784725839,0.04779831978321101,15.346219062805176,no,no,yes,no,no,no,no,no
147,4395,83.81893842675844,-5.348498887304057,2.80931096769455,0.14573787468099883,6.755276203155518,no,no,yes,no,no,no,no,no
148,4395,83.81047439286648,-5.441865238356134,2.842677927395936,0.1565713362444155,7.270383358001709,no,no,yes,no,no,no,no,no
149,4395,83.79818023395089,-5.413313395186825,1.662851123702774,0.01992106699657512,248.63720703125,no,no,yes,no,no,no,no,no
150,4396,83.80539864947548,-5.377487491133733,1.321987755378998,0.03396574678388361,31.81134033203125,no,no,yes,no,no,no,no,no
151,4396,83.88027454586718,-5.371043829827197,3.946071918683833,0.19211412551301,13.759687423706055,no,no,no,no,no,no,no,no
152,4396,83.76459225597333,-5.346269451112279,4.363334818053234,0.1871331640018333,13.424933433532715,no,no,yes,no,no,no,no,no
153,6419,83.80075841610044,-5.415946927333031,10.81641147928183,0.22868985582890206,73.62704467773438,no,no,yes,no,no,no,no,no
154,6436,52.243397384583915,31.371469750395807,1.640253075074304,0.057615821220535525,38.5811767578125,no,no,no,no,no,no,no,no
155,6436,52.27419055478918,31.277375643159335,4.431292628492416,0.11416848591356084,82.09803009033203,no,yes,no,no,no,no,no,no
156,6436,52.28227142640922,31.36581838148058,1.291757004260679,0.10867355081206681,20.57270050048828,no,no,no,no,no,no,no,no
157,13637,83.83260606212238,-5.3113979892890555,4.566964844530538,0.26131378771433,10.455548286437988,no,no,yes,no,no,no,no,no
158,17735,83.80919860282133,-5.436827546130316,2.909666744302231,0.051004828273682086,69.05298614501953,no,no,yes,no,no,no,no,no
159,17735,83.83679181844586,-5.353676908948062,2.348060635696487,0.07215447376055488,22.38805389404297,no,no,yes,no,no,no,no,no
160,17735,83.8228107743317,-5.3436302243601705,2.800769755494589,0.11983795643496306,6.880227088928223,no,no,yes,no,no,no,no,no
161,17735,83.80903575454477,-5.4390036351922815,3.037784278911849,0.12579719392744695,10.83777141571045,no,no,yes,no,no,no,no,no
162,18926,81.31799864269063,1.6069516325682263,3.049418710354814,0.06011167545692697,74.81124877929688,no,no,no,no,no,no,no,no
